|unit|real_estate_id|
|----|-------------|
|105|0329096|
|111|0329097|
|113|0329098|
|117|0400624|
|200|0328654|
|200-1|0400616|
|201|0328655|
|202|0400617|
|203|0328656|
|204|0328657|
|205|0328658|
|206|0328659|
|207|0328660|
|208|0328661|
|209|0328662|
|210|0328663|
|211|0328664|
|213|0328666|
|215|0328667|
|217|0328668|
|220|0328665|
|224|0400618|
|226|0400619|
|300|0328669|
|300-1|0400620|
|301|0328670|
|302|0400621|
|303|0328671|
|304|0328672|
|305|0328673|
|306|0328674|
|307|0328675|
|308|0328676|
|309|0328677|
|310|0328678|
|311|0328679|
|313|0328681|
|315|0328682|
|317|0328683|
|320|0328680|
|324|0400622|
|326|0400623|
|400|0328684|
|401|0328685|
|403|0328686|
|404|0328687|
|405|0328688|
|406|0329073|
|407|0329074|
|408|0329075|
|409|0329076|
|410|0329077|
|411|0329078|
|412|0329079|
|413|0329080|
|415|0329081|
|417|0329082|
|500|0329083|
|501|0329084|
|504|0329085|
|505|0329086|
|506|0329087|
|507|0329088|
|508|0329089|
|509|0329090|
|510|0329091|
|511|0329092|
|512|0329093|
|513|0329094|
|515|0329095|
